download_count,project
1577565199,"boto3"
1293053828,"packaging"
1216636342,"urllib3"
1190423972,"setuptools"
1103110944,"certifi"
1069042689,"requests"
1068493000,"typing-extensions"
1062035920,"botocore"
1040689373,"idna"
1006015167,"charset-normalizer"
896688206,"aiobotocore"
827266794,"python-dateutil"
794696816,"six"
761066003,"cryptography"
734904368,"grpcio-status"
682288214,"cffi"
672445442,"numpy"
668225120,"pyyaml"
646171099,"s3transfer"
626136875,"pip"
625696446,"pycparser"
594714119,"pluggy"
587618961,"pydantic"
567433041,"pygments"
564128617,"s3fs"
563207743,"fsspec"
546809808,"click"
512974134,"protobuf"
500523747,"pandas"
495762173,"attrs"
493834537,"pydantic-core"
471234814,"pytest"
458366881,"anyio"
458324754,"markupsafe"
457173618,"h11"
453508388,"iniconfig"
442146062,"platformdirs"
435987560,"jmespath"
428939595,"wheel"
425713004,"annotated-types"
412892154,"filelock"
412188165,"jinja2"
391726979,"importlib-metadata"
377878452,"pathspec"
376166824,"pyjwt"
374741833,"rsa"
373997801,"httpx"
372545590,"zipp"
371897428,"pytz"
367999600,"httpcore"
367893516,"typing-inspection"
360416630,"pyasn1"
335099063,"aiohttp"
334327298,"python-dotenv"
332901078,"rich"
326386553,"multidict"
324892787,"jsonschema"
321919477,"google-auth"
316140058,"tzdata"
314911256,"yarl"
314755393,"colorama"
309660601,"tqdm"
307933683,"google-api-core"
304676189,"grpcio"
301801906,"tomli"
300881335,"awscli"
299419146,"virtualenv"
296997727,"frozenlist"
295011211,"propcache"
293489359,"googleapis-common-protos"
293133983,"requests-oauthlib"
290546971,"rpds-py"
289397710,"markdown-it-py"
287736843,"referencing"
286822687,"aiosignal"
286795424,"wrapt"
285167012,"greenlet"
284122904,"pillow"
283880829,"pyasn1-modules"
282345038,"sqlalchemy"
281333630,"mdurl"
278660633,"scipy"
276581647,"jsonschema-specifications"
275444140,"pyarrow"
273471726,"trove-classifiers"
266730168,"uvicorn"
263187063,"aiohappyeyeballs"
259959386,"starlette"
259790902,"oauthlib"
257412763,"psutil"
257232331,"pyparsing"
254201033,"fastapi"
239354154,"google-genai"
237512456,"cachetools"
237301325,"opentelemetry-proto"
236580727,"tenacity"
232315925,"et-xmlfile"
231935749,"openpyxl"
231409132,"grpcio-tools"
230284804,"opentelemetry-semantic-conventions"
228346335,"tomlkit"
223705227,"regex"
220071714,"opentelemetry-sdk"
218938831,"sniffio"
217359034,"websocket-client"
214754452,"yandexcloud"
214280163,"soupsieve"
213697886,"beautifulsoup4"
